student_id,gender,age,study_hours,attendance_rate,previous_scores,parental_education,school_type,extracurricular,final_math_score
1056,Female,16,13.8,73.9,84.6,Master’s,Public,3,100.0
1057,Female,17,9.9,72.4,48.4,High School,Private,4,83.2
1058,Male,17,7.0,88.8,80.2,Bachelor’s,Private,4,93.2
1059,Male,17,12.0,76.3,54.2,Bachelor’s,Public,4,91.9
1060,Male,16,8.2,65.8,66.3,Master’s,Private,2,81.1
1061,Male,18,18.8,62.9,41.0,Bachelor’s,Private,2,84.6
1062,Male,16,18.6,51.9,49.1,Bachelor’s,Public,4,79.4
1063,Male,15,11.0,79.2,45.5,Bachelor’s,Private,3,83.3
1064,Male,18,7.9,61.5,54.4,High School,Public,4,79.0
1065,Male,17,15.3,57.4,46.0,High School,Private,4,83.5
1066,Female,16,2.7,82.7,81.5,Bachelor’s,Private,2,71.0
1067,Female,17,10.5,84.1,41.7,Bachelor’s,Public,4,87.2
1068,Male,17,8.1,87.6,77.1,Bachelor’s,Private,3,96.3
1069,Female,15,18.6,75.2,48.4,Bachelor’s,Private,3,99.1
1070,Female,18,2.2,94.7,96.7,High School,Public,4,96.2
1071,Female,15,12.0,96.8,96.0,Master’s,Private,3,100.0
1072,Female,15,15.3,90.4,53.5,Bachelor’s,Private,4,100.0
1073,Male,15,10.7,81.8,76.9,High School,Private,2,94.5
1074,Female,17,3.5,65.2,41.7,Bachelor’s,Private,4,56.3
1075,Male,15,19.5,99.1,95.9,Master’s,Private,0,100.0
1076,Female,15,11.3,63.7,71.4,High School,Public,2,89.7
1077,Female,18,13.1,60.1,42.6,High School,Private,3,77.1
1078,Female,18,6.3,72.1,60.5,Master’s,Private,3,71.9
1079,Male,15,10.7,52.8,44.6,Master’s,Public,2,62.9
1080,Female,18,9.7,98.9,63.6,High School,Public,0,93.3
1081,Male,18,3.3,79.4,80.2,Master’s,Public,2,71.5
1082,Female,15,3.9,77.8,68.2,Bachelor’s,Public,1,77.3
1083,Male,17,17.1,82.8,63.0,Master’s,Private,0,100.0
1084,Female,15,6.3,74.9,47.1,Master’s,Private,2,76.0
1085,Male,18,5.5,51.6,54.7,High School,Private,1,65.4
1086,Male,17,11.1,80.6,46.0,Master’s,Private,4,89.1
1087,Female,16,15.8,85.8,88.4,High School,Private,0,100.0
1088,Male,17,3.1,70.8,48.1,Bachelor’s,Private,4,57.2
1089,Female,18,12.4,87.9,75.7,Master’s,Private,1,100.0
1090,Female,17,4.1,61.4,60.6,Master’s,Public,3,69.8
1091,Female,15,2.7,61.1,53.6,High School,Private,3,66.2
1092,Female,16,2.9,58.1,78.4,High School,Public,3,80.2
1093,Female,16,17.0,68.6,67.4,Master’s,Public,4,95.3
1094,Female,16,4.1,92.4,64.0,High School,Public,0,81.4
1095,Female,18,2.8,91.4,75.6,Master’s,Private,4,74.7
1096,Female,18,9.9,69.1,69.5,Bachelor’s,Private,4,89.6
1097,Female,16,17.2,79.5,58.2,Master’s,Public,3,100.0
1098,Female,17,6.7,86.0,73.5,Bachelor’s,Private,4,82.9
1099,Female,16,9.6,62.1,80.2,Bachelor’s,Private,1,88.8
1100,Male,17,2.7,58.4,41.6,High School,Public,2,47.2
1101,Male,17,10.1,98.6,68.0,High School,Public,2,94.7
1102,Female,18,12.4,80.9,43.5,High School,Private,2,86.2
1103,Female,17,12.3,99.1,51.2,High School,Public,3,92.8
1104,Female,16,8.0,66.9,73.6,Master’s,Public,3,82.4
1105,Female,18,7.7,85.2,92.0,Bachelor’s,Public,2,100.0
1106,Female,15,3.9,61.1,93.0,Master’s,Private,0,82.7
1107,Female,15,8.6,63.1,44.2,Bachelor’s,Private,2,67.5
1108,Female,18,3.8,75.6,65.1,Bachelor’s,Public,4,84.3
1109,Female,16,15.8,66.0,75.0,Bachelor’s,Public,2,96.8
1110,Male,15,19.4,58.4,48.8,Master’s,Private,2,95.7
1111,Female,15,19.5,63.1,85.9,High School,Private,0,100.0
1112,Male,17,17.6,51.8,84.7,Master’s,Private,3,100.0
1113,Female,17,12.8,85.2,94.2,Bachelor’s,Private,3,100.0
1114,Female,16,14.6,74.6,40.5,Master’s,Private,4,91.4
1115,Male,18,7.1,54.7,53.0,Bachelor’s,Private,2,66.2
1116,Female,16,13.4,58.6,89.6,High School,Public,1,100.0
1117,Male,18,10.2,55.1,80.2,High School,Public,4,89.8
1118,Female,15,10.7,80.6,93.7,Master’s,Public,3,100.0
1119,Female,17,15.6,54.7,43.4,High School,Private,0,72.2
1120,Male,16,7.1,87.7,75.8,Bachelor’s,Public,3,91.7
1121,Female,16,7.7,51.0,74.1,Bachelor’s,Public,3,84.4
1122,Male,18,18.6,62.5,42.1,High School,Public,0,87.2
1123,Female,18,3.0,94.5,70.8,High School,Public,2,83.7
1124,Male,16,10.7,85.9,76.6,High School,Public,2,100.0
1125,Male,18,18.4,53.6,51.5,Master’s,Public,3,86.3
1126,Female,16,13.0,91.1,56.4,Master’s,Public,4,94.0
1127,Female,16,11.8,74.7,78.4,Bachelor’s,Private,1,91.0
1128,Male,16,6.5,92.3,68.1,Master’s,Public,4,94.9
1129,Female,15,8.2,80.0,91.5,Master’s,Public,4,100.0
1130,Female,18,17.3,84.1,60.5,Bachelor’s,Private,3,99.0
1131,Female,17,12.1,99.7,56.0,Bachelor’s,Public,3,93.2
1132,Male,17,11.3,61.6,99.1,High School,Private,1,97.6
1133,Male,18,3.8,81.2,94.7,High School,Public,1,83.8
1134,Male,16,2.3,73.0,41.7,Master’s,Private,1,57.3
1135,Male,17,19.3,52.0,86.2,Bachelor’s,Public,3,100.0
1136,Male,17,8.8,50.7,46.6,Master’s,Public,3,67.5
1137,Male,18,12.9,56.0,41.6,Master’s,Public,4,80.1
1138,Male,17,3.4,82.5,56.4,Bachelor’s,Public,3,65.9
1139,Male,16,14.3,78.4,56.2,Bachelor’s,Public,2,88.5
1140,Male,18,18.8,77.7,89.2,Bachelor’s,Private,2,100.0
1141,Female,16,12.4,51.6,82.6,Bachelor’s,Public,1,87.9
1142,Male,17,4.3,73.5,98.9,Master’s,Private,3,100.0
1143,Female,17,12.5,96.2,82.7,Master’s,Public,2,100.0
1144,Female,16,15.8,69.9,65.1,Master’s,Public,4,100.0
1145,Female,15,9.3,81.2,81.9,Bachelor’s,Public,0,92.4
1146,Male,17,17.8,89.0,100.0,High School,Private,4,100.0
1147,Male,15,13.7,89.2,82.6,Master’s,Private,0,98.5
1148,Male,17,18.2,76.0,85.7,High School,Private,4,100.0
1149,Male,15,13.2,92.9,96.3,High School,Private,2,100.0
1150,Female,15,4.4,69.6,46.8,High School,Private,3,51.8
1151,Male,15,7.6,94.4,82.3,Bachelor’s,Public,0,92.4
1152,Male,16,5.6,62.0,91.0,Bachelor’s,Public,3,97.9
1153,Male,15,18.4,64.0,97.3,Master’s,Private,3,100.0
1154,Male,15,15.7,52.7,52.7,Master’s,Private,2,87.6
1155,Male,15,14.2,89.8,70.2,Bachelor’s,Public,1,100.0
1156,Female,17,7.4,70.9,80.8,Bachelor’s,Public,1,92.9
1157,Male,15,5.3,61.5,54.8,High School,Private,0,60.0
1158,Female,17,15.6,61.6,76.0,Bachelor’s,Private,2,90.9
1159,Male,15,10.5,95.1,55.5,Bachelor’s,Public,3,88.4
1160,Female,15,6.1,91.7,60.0,Bachelor’s,Private,4,76.8
1161,Male,16,13.1,77.7,66.5,Bachelor’s,Public,4,100.0
1162,Male,17,2.7,80.8,71.8,High School,Private,0,76.3
1163,Female,15,7.9,73.7,67.0,Master’s,Private,0,74.4
1164,Female,17,10.4,69.6,69.6,High School,Public,0,83.0
1165,Female,17,4.7,95.8,57.9,Bachelor’s,Public,2,79.1
1166,Male,18,19.7,56.3,49.5,Bachelor’s,Private,4,99.8
1167,Female,16,5.8,70.9,42.8,Master’s,Public,2,75.6
1168,Male,16,4.3,67.2,51.8,Master’s,Private,2,69.8
1169,Male,16,5.7,74.9,74.9,Master’s,Private,3,87.0
1170,Female,18,15.8,72.9,87.2,High School,Public,2,100.0
1171,Female,18,9.7,75.9,50.2,Master’s,Public,2,78.4
1172,Male,16,12.2,57.0,46.5,Bachelor’s,Public,3,75.4
1173,Male,18,2.4,75.7,85.0,Bachelor’s,Private,1,79.6
1174,Female,18,2.6,62.1,58.3,Bachelor’s,Public,3,62.7
1175,Female,18,10.0,59.2,97.1,High School,Public,0,90.0
1176,Female,16,16.7,53.2,82.9,Master’s,Public,1,92.3
1177,Male,16,17.9,88.1,59.6,Master’s,Private,4,100.0
1178,Male,16,3.6,71.4,57.4,Master’s,Public,2,60.9
1179,Male,18,11.7,81.3,71.4,Master’s,Public,1,90.3
1180,Male,16,18.4,86.4,44.7,Bachelor’s,Public,4,99.2
1181,Male,18,9.0,84.0,47.1,High School,Public,3,81.0
1182,Male,15,16.9,73.5,50.6,Master’s,Private,3,94.2
1183,Female,18,4.4,69.4,86.5,Bachelor’s,Private,0,82.3
1184,Male,17,18.8,68.8,70.8,Bachelor’s,Private,0,100.0
1185,Male,16,15.5,82.0,40.6,High School,Private,1,94.6
1186,Male,16,18.9,74.7,80.4,Master’s,Public,2,100.0
1187,Female,17,14.2,92.5,65.4,High School,Private,3,100.0
1188,Male,18,8.5,93.7,70.7,Master’s,Public,1,95.9
1189,Male,15,18.9,58.5,52.8,High School,Private,1,88.2
1190,Female,17,7.0,56.8,73.1,Master’s,Public,1,66.4
1191,Male,17,8.0,81.5,98.7,Master’s,Public,0,100.0
1192,Male,18,14.6,65.1,44.4,High School,Public,3,79.3
1193,Male,16,15.8,50.9,57.0,Master’s,Private,0,77.1
1194,Male,18,18.7,94.4,54.6,High School,Private,0,99.5
1195,Male,17,5.7,61.3,54.9,High School,Private,1,61.1
1196,Female,17,16.4,96.5,62.7,Master’s,Public,4,100.0
1197,Female,16,15.3,85.9,89.1,Master’s,Private,4,100.0
1198,Female,16,3.1,88.1,94.8,High School,Public,4,94.1
1199,Male,16,9.0,60.1,52.1,Bachelor’s,Private,1,61.1
1200,Male,18,7.1,61.7,72.6,High School,Private,2,74.5
1201,Male,16,7.5,76.1,78.2,Bachelor’s,Private,3,82.5
1202,Female,17,19.7,58.6,71.3,Bachelor’s,Private,1,100.0
1203,Male,17,13.6,65.3,66.0,High School,Private,1,80.2
1204,Male,15,14.9,66.1,51.5,High School,Public,0,89.1
1205,Female,18,19.6,58.0,69.3,High School,Private,4,96.5
1206,Male,15,8.8,60.3,64.1,Bachelor’s,Private,1,70.1
1207,Female,17,16.4,89.4,87.7,High School,Private,2,100.0
1208,Female,15,9.8,58.4,85.8,High School,Public,3,99.8
1209,Female,17,17.7,51.4,48.0,Master’s,Private,2,80.8
1210,Male,15,5.3,81.5,45.3,Master’s,Private,1,70.3
1211,Male,16,19.1,98.8,94.5,Master’s,Public,1,100.0
1212,Male,15,5.9,66.6,72.1,High School,Private,0,71.9
1213,Male,16,7.9,55.9,91.5,High School,Public,2,86.4
1214,Male,16,15.6,78.5,43.5,High School,Public,0,80.2
1215,Male,18,9.1,95.3,71.6,Bachelor’s,Private,2,100.0
1216,Male,16,12.9,89.2,72.4,Bachelor’s,Public,4,100.0
1217,Female,16,10.0,81.1,91.6,Master’s,Private,4,100.0
1218,Male,15,15.4,65.8,45.9,Bachelor’s,Public,2,70.8
1219,Female,17,6.1,77.1,54.4,Bachelor’s,Private,0,66.6
1220,Male,18,3.1,54.6,64.4,Bachelor’s,Public,4,72.5
1221,Male,16,7.4,83.9,92.0,Master’s,Public,1,95.2
1222,Male,18,10.5,86.3,96.3,Master’s,Public,3,100.0
1223,Female,15,5.0,98.3,99.6,Bachelor’s,Private,0,100.0
1224,Female,16,8.4,63.0,97.6,High School,Public,2,96.8
1225,Female,15,9.2,50.9,40.4,Master’s,Private,3,69.1
1226,Female,18,3.0,77.3,42.9,Bachelor’s,Private,3,60.0
1227,Male,15,12.5,85.3,48.9,High School,Public,1,90.9
1228,Female,18,17.9,89.5,60.9,High School,Private,0,100.0
1229,Male,15,4.7,59.7,89.8,Master’s,Private,3,78.8
1230,Male,18,12.8,63.1,93.6,High School,Public,0,100.0
1231,Female,17,14.0,75.6,51.2,Master’s,Private,1,85.2
1232,Female,15,9.5,66.5,77.2,Bachelor’s,Private,2,83.6
1233,Female,15,14.6,93.0,95.0,Master’s,Public,3,100.0
1234,Female,17,9.4,73.7,67.8,High School,Public,3,81.3
1235,Female,17,11.1,90.0,46.2,Master’s,Public,3,79.5
1236,Female,15,2.1,79.0,67.5,Master’s,Public,0,68.5
1237,Female,17,14.5,88.7,62.5,Bachelor’s,Private,3,93.0
1238,Female,16,13.9,66.6,74.7,High School,Private,0,89.4
1239,Male,18,2.7,91.6,66.3,Master’s,Private,4,74.6
1240,Female,18,8.6,63.7,41.0,Bachelor’s,Public,4,74.1
1241,Female,18,19.6,77.3,99.6,Bachelor’s,Private,0,100.0
1242,Male,16,9.6,60.7,72.6,Bachelor’s,Public,4,78.8
1243,Female,17,11.0,73.8,68.4,Bachelor’s,Private,1,97.9
1244,Male,17,18.4,65.9,97.3,Bachelor’s,Public,1,100.0
1245,Male,15,14.9,63.3,49.4,Master’s,Private,4,87.0
1246,Female,17,12.5,98.3,51.4,Master’s,Private,2,85.4
1247,Male,15,16.4,58.0,88.5,High School,Public,0,92.0
1248,Male,16,17.6,89.4,55.6,Master’s,Private,4,100.0
1249,Male,18,10.2,99.2,88.0,High School,Private,0,100.0
1250,Male,18,10.6,51.0,56.3,High School,Private,4,74.3
1251,Female,18,8.9,85.0,42.0,High School,Private,1,74.5
1252,Male,17,19.4,62.6,71.0,Master’s,Public,2,98.8
1253,Female,15,14.5,52.0,51.8,Bachelor’s,Private,0,74.6
1254,Male,15,3.5,70.1,85.5,High School,Public,2,80.8
1255,Male,16,17.5,96.8,78.5,Bachelor’s,Public,1,100.0
1256,Male,17,10.7,50.6,95.4,High School,Public,3,82.5
1257,Male,16,3.2,79.4,87.0,Master’s,Private,3,88.0
1258,Female,15,11.9,75.1,50.8,High School,Public,0,79.7
1259,Female,15,9.5,93.7,88.0,Master’s,Public,1,100.0
1260,Male,18,17.8,54.2,78.5,Bachelor’s,Public,0,98.4
1261,Male,17,5.7,84.1,80.1,Master’s,Private,0,95.0
1262,Female,15,16.9,84.0,89.9,Bachelor’s,Private,0,100.0
1263,Male,18,12.0,83.5,74.4,Master’s,Public,2,90.1
1264,Male,17,3.0,97.1,68.0,High School,Public,4,86.6
1265,Male,16,19.5,91.2,78.2,High School,Private,1,100.0
1266,Female,17,11.2,52.1,57.9,Master’s,Public,2,72.1
1267,Female,17,7.2,73.6,51.0,Bachelor’s,Private,4,76.3
1268,Female,15,10.4,69.9,77.0,Bachelor’s,Public,0,86.7
1269,Male,15,17.4,65.5,54.0,Bachelor’s,Private,3,91.4
1270,Male,17,7.5,72.6,44.8,Master’s,Private,2,68.9
1271,Female,15,5.5,69.2,40.0,Master’s,Private,1,54.3
1272,Female,15,4.3,71.6,76.5,Master’s,Public,1,80.6
1273,Female,15,7.4,99.0,61.7,Master’s,Public,4,90.6
1274,Female,18,16.0,54.4,85.1,Bachelor’s,Private,2,100.0
1275,Male,18,10.5,96.1,62.5,Bachelor’s,Private,0,86.4
1276,Female,17,6.1,74.0,69.2,Master’s,Public,4,76.8
1277,Male,15,5.0,81.2,64.4,Master’s,Private,1,74.3
1278,Female,18,8.0,91.5,79.0,Bachelor’s,Public,2,95.0
1279,Male,17,18.9,68.0,61.4,Bachelor’s,Private,3,98.1
1280,Female,15,8.2,71.5,97.8,High School,Private,0,94.3
1281,Female,16,19.8,70.5,96.2,Master’s,Public,1,100.0
1282,Female,15,10.7,68.7,90.9,High School,Public,2,100.0
1283,Female,15,5.2,96.3,95.2,Bachelor’s,Private,3,97.2
1284,Male,18,18.0,91.4,66.9,Bachelor’s,Public,1,100.0
1285,Female,17,10.3,55.4,72.2,Master’s,Private,3,89.1
1286,Male,17,14.8,55.4,84.5,High School,Public,1,89.7
1287,Male,18,19.7,71.4,81.8,Bachelor’s,Private,4,100.0
1288,Male,15,2.9,54.9,93.4,High School,Public,4,74.6
1289,Male,16,3.7,81.0,83.0,High School,Public,4,85.8
1290,Female,15,15.0,57.2,99.9,High School,Private,2,100.0
1291,Male,15,7.1,76.1,60.9,High School,Private,4,77.3
1292,Male,16,5.3,50.4,90.0,High School,Private,2,83.1
1293,Male,18,2.7,65.8,81.9,Master’s,Private,0,79.8
1294,Female,17,2.4,83.9,81.5,Master’s,Private,4,81.3
1295,Female,18,15.9,74.2,59.6,High School,Private,2,94.9
1296,Female,18,4.4,98.9,87.1,Master’s,Public,1,86.8
1297,Female,15,10.4,93.7,94.0,Bachelor’s,Private,2,100.0
1298,Male,17,12.9,68.0,53.1,High School,Private,2,86.7
1299,Male,17,9.7,52.3,77.5,Master’s,Private,1,81.1
1300,Female,18,2.5,92.3,63.5,Master’s,Private,2,73.8
1301,Male,16,16.1,95.6,99.4,Bachelor’s,Public,1,100.0
1302,Male,18,2.2,91.0,68.7,Bachelor’s,Private,3,77.2
1303,Male,16,15.7,56.4,53.7,Bachelor’s,Private,4,85.8
1304,Female,17,18.1,99.9,62.9,Bachelor’s,Public,0,100.0
1305,Female,18,9.8,62.9,79.2,High School,Public,2,88.2
1306,Male,15,11.6,86.2,44.6,Master’s,Private,1,75.5
1307,Female,18,10.6,95.4,76.2,Master’s,Public,4,89.5
1308,Female,17,9.0,61.8,95.9,Bachelor’s,Private,2,99.0
1309,Female,15,18.0,95.4,91.0,Master’s,Public,4,100.0
1310,Female,15,18.1,65.5,44.1,Master’s,Public,3,89.5
1311,Female,16,8.0,98.8,99.6,Master’s,Public,2,100.0
1312,Male,15,13.1,64.1,81.9,Bachelor’s,Public,1,92.1
1313,Female,15,18.7,97.7,49.7,Master’s,Public,3,100.0
1314,Male,18,19.3,52.7,40.7,Master’s,Private,2,88.9
1315,Male,17,11.2,85.5,50.3,Master’s,Private,4,85.2
1316,Female,16,10.2,76.6,90.3,High School,Public,3,93.0
1317,Male,18,7.0,73.9,41.3,High School,Public,1,69.1
1318,Male,15,19.3,61.2,54.0,Master’s,Public,2,98.8
1319,Male,15,4.6,85.3,85.4,Master’s,Private,4,91.1
1320,Female,16,12.4,59.5,75.2,Master’s,Private,4,99.7
1321,Female,17,7.1,77.6,87.0,Master’s,Private,3,94.7
1322,Male,16,7.0,62.7,84.8,Master’s,Public,2,83.9
1323,Female,18,9.3,97.8,43.0,Master’s,Private,4,84.8
1324,Female,16,20.0,51.4,93.6,High School,Public,3,100.0
1325,Female,15,3.0,60.0,53.6,Bachelor’s,Public,0,62.2
1326,Female,18,12.4,62.1,73.2,Master’s,Public,4,94.8
1327,Male,15,3.5,70.7,78.7,Master’s,Public,3,80.4
1328,Male,17,4.8,61.6,50.1,Master’s,Private,0,59.6
1329,Female,15,9.9,74.6,98.6,Bachelor’s,Private,3,100.0
1330,Female,15,11.2,93.6,69.3,Master’s,Public,4,97.3
1331,Male,16,6.7,85.6,43.5,Master’s,Public,0,61.8
1332,Male,15,7.7,79.0,96.2,Bachelor’s,Public,3,100.0
1333,Female,18,3.6,54.5,75.2,Master’s,Public,2,64.5
1334,Male,18,7.5,84.7,82.0,Bachelor’s,Public,0,82.4
1335,Female,17,19.4,58.3,71.5,Bachelor’s,Public,3,100.0
1336,Female,18,19.0,89.3,90.1,Master’s,Private,2,100.0
1337,Male,16,8.0,62.5,42.0,High School,Private,0,65.1
1338,Male,17,12.3,70.9,56.1,High School,Private,3,80.1
1339,Female,18,18.4,67.5,68.2,Master’s,Public,4,99.9
1340,Female,16,2.1,92.9,44.6,Bachelor’s,Private,0,65.8
1341,Male,18,16.6,56.3,82.4,Bachelor’s,Private,0,100.0
1342,Female,18,19.1,78.3,63.6,Bachelor’s,Private,2,100.0
1343,Male,15,3.6,57.1,56.4,Master’s,Private,3,57.6
1344,Female,18,4.9,85.2,40.2,High School,Private,4,69.8
1345,Male,18,19.3,95.3,83.2,Bachelor’s,Public,2,100.0
1346,Male,16,11.7,71.7,90.0,Bachelor’s,Public,0,86.7
1347,Male,16,2.3,74.4,63.7,Master’s,Public,2,69.5
1348,Female,15,6.6,96.4,73.9,High School,Private,2,88.3
1349,Female,18,10.1,76.0,53.7,High School,Public,2,84.1
1350,Male,15,14.5,74.4,77.3,Master’s,Private,0,95.9
1351,Female,18,15.2,78.9,40.7,High School,Public,1,91.5
1352,Male,17,19.9,84.5,69.3,Master’s,Private,2,100.0
1353,Male,17,7.2,55.3,78.7,Bachelor’s,Private,1,78.4
1354,Female,15,11.7,91.1,95.1,Master’s,Public,4,100.0
1355,Female,15,11.6,71.8,62.9,Bachelor’s,Public,4,90.9
1356,Male,15,9.3,53.6,85.9,Master’s,Private,4,97.2
1357,Female,16,5.0,89.3,75.9,Bachelor’s,Private,3,82.5
1358,Female,16,19.6,68.8,95.6,Bachelor’s,Public,0,100.0
1359,Male,16,17.4,55.0,63.9,Master’s,Public,1,91.4
1360,Male,15,11.0,81.7,59.1,Bachelor’s,Private,3,94.7
1361,Female,18,12.9,94.0,93.2,High School,Public,1,100.0
1362,Male,17,6.1,94.4,43.0,Master’s,Public,0,69.3
1363,Male,15,11.8,97.9,48.2,High School,Public,2,81.5
1364,Female,16,14.5,93.4,44.9,Bachelor’s,Public,3,93.2
1365,Male,16,11.3,50.1,90.6,Bachelor’s,Private,0,87.9
1366,Male,15,19.8,69.0,40.6,Bachelor’s,Private,3,95.0
1367,Female,15,13.0,90.9,91.7,Master’s,Private,4,100.0
1368,Female,16,8.7,68.3,67.1,Bachelor’s,Public,3,81.4
1369,Male,18,15.9,80.1,40.2,High School,Private,2,90.1
1370,Male,16,5.1,80.3,64.1,High School,Private,2,78.4
1371,Female,16,8.9,68.3,51.2,Master’s,Public,1,74.2
1372,Female,15,8.2,95.2,77.5,High School,Public,3,100.0
1373,Female,18,9.8,75.2,80.8,Master’s,Private,4,99.7
1374,Female,16,16.1,73.2,69.3,Master’s,Private,2,100.0
1375,Male,16,10.7,99.9,42.4,Bachelor’s,Public,1,86.3
1376,Female,17,16.3,74.7,79.4,High School,Public,4,100.0
1377,Female,15,12.4,58.9,90.5,High School,Public,4,98.1
1378,Male,17,8.2,75.7,83.2,High School,Public,4,94.6
1379,Female,17,16.6,90.7,89.8,Bachelor’s,Public,0,100.0
1380,Male,16,6.3,88.8,52.0,Master’s,Private,2,74.0
1381,Female,15,6.0,89.4,93.3,High School,Private,0,100.0
1382,Female,18,11.1,85.4,59.3,High School,Private,0,78.3
1383,Female,16,6.7,62.7,40.8,High School,Private,2,68.9
1384,Male,18,2.2,93.1,90.6,High School,Public,3,89.9
1385,Male,18,13.7,94.7,96.5,Bachelor’s,Public,1,100.0
1386,Female,15,11.2,59.7,79.3,Master’s,Private,2,87.5
1387,Male,17,10.0,56.5,53.9,High School,Public,1,74.0
1388,Male,15,19.4,98.8,55.1,High School,Private,3,100.0
1389,Male,18,12.3,93.4,68.0,Master’s,Private,2,100.0
1390,Male,16,17.5,94.7,93.9,Bachelor’s,Private,4,100.0
1391,Male,18,4.5,94.3,49.0,Bachelor’s,Private,2,76.8
1392,Male,16,12.2,77.1,89.6,Bachelor’s,Private,3,100.0
1393,Female,16,17.6,82.3,57.5,Bachelor’s,Private,0,97.6
1394,Female,15,12.5,77.3,88.5,High School,Public,2,100.0
1395,Male,18,14.9,52.6,95.2,Master’s,Public,4,100.0
1396,Female,17,8.7,87.3,65.6,Master’s,Private,2,89.3
1397,Female,18,3.7,75.3,61.9,Master’s,Private,0,68.2
1398,Female,18,10.2,82.4,88.1,Bachelor’s,Private,2,100.0
1399,Female,17,9.1,75.1,71.8,Bachelor’s,Public,4,95.9
1400,Male,15,17.6,74.6,81.1,Master’s,Public,3,100.0
1401,Female,18,6.4,58.6,77.4,High School,Public,4,85.8
1402,Female,18,19.4,63.9,49.2,Bachelor’s,Private,3,93.4
1403,Male,16,19.2,57.9,90.7,High School,Public,4,100.0
1404,Male,18,6.5,59.8,51.7,Master’s,Private,1,67.8
